on;man
rectifier;berichtigen, korrigieren, verbessern / ermorden, töten / morden
l'opposition (f);Opposition
rude;grell, herb, scharf / arg, barsch, grob
l'escalier (m);Stiege, Treppe
l'arrivée (f);Ziel / Ankunft, Eintreffen
le service;Gefallen, Gefälligkeit / Amt, Anstellung, Dienst / Sektion / Geschirr, Tisch-Service
le papier;Papier
le seau;Eimer
le style;Stil
exister;bestehen, da sein, existieren, vorhanden sein
est-ce que, est-ce qu';ob
supporter, soutenir;aushalten, ausstehen, ertragen
parvenir;erlangen, erzielen, reichen, erreichen / Erfolg haben, gelingen / treffen
mourir, décéder;sterben
effectif;effektiv, tatsächlich, wirklich
l'orchestre (m);Orchester
la signification;Sinn, Verstand / Bezeichnung, Meinung, Bedeutung
aubergiste;Wirt
premier;erster, erste, erstes
le champ;Acker / Feld, Flur, Land
la roue;Rad
la requête;Gang, Schritt / Bemühung, Mühe, Mühsal, Versuch
le camarade;Genosse, Kamerad
tricher;ergaunern / betrügen, hintergehen, täuschen
le corps;Körper, Leib
la Chine;China
l'affaire (f);Angelegenheit, Ding, Sache, Werk
en général;generell, überhaupt
la communication;Bericht, Mitteilung, Nachricht
l'Allemagne (f);Deutschland
le maire;Bürgermeister
ronde;rund
court;kurz
bouche;Mund
la presqu'île, la péninsule;Halbinsel
le son;Hall, Klang, Laut, Schall, Ton
laver;spülen, waschen
le Dieu, le dieu;Gott
le geste;Gebärde, Geste
le collège;Gymnasium
la chasse;Jagd
asseoir;setzen / sich setzen
la décision;Beschluss, Entschluss
tout;sehr / ganz, gänzlich, gar / allerhand, jeglicher / alles
la force;Stärke / Gewalt, Kraft
hôtel de ville (m);Rathaus
le taureau;Stier
le pain;Brot
selon;gemäß, nach
peser;wägen, abwägen, wiegen / schwer sein
derrière;hinter
le baiser;Kuss
emprunter;ausleihen, ausborgen / borgen, leihen, darleihen, entlehnen, verleihen
la pipe, le sifflet;Pfeife
le diable, le Satan;Teufel
le porc;Schweinefleisch / Schwein
l'Auguste (m), l'août (m);August
la locomotive;Lokomotive
le métal;Metall
acéré, percant;grell, herb, scharf
l'état politique (m);Staat
se soulever;aufgehen, sich erheben, steigen
la Pologne;Polen
la littérature;Literatur
à condition que;falls, wenn
pur;absolut, unbedingt, unbeschränkt / blank, rein, reinlich, sauber / einfach, einfältig
recevoir;annehmen, empfangen, genehmigen / bekommen, erhalten
blesser;verletzen, verwunden
laisser;lassen, überlassen, unterlassen, zurücklassen
accueillir;annehmen, empfangen, genehmigen / bekommen, erhalten / grüßen, begrüßen
en vain;umsonst, vergebens, vergeblich
alerter;alarmieren / warnen
maint;viel, zahlreich
le parapluie;Regenschirm
participer, prendre part;mitmachen, teilnehmen
critiquer;begutachten, kritisieren
dix-neuf;neunzehn
international;international
le miroir;Spiegel
amical;freundlich, freundschaftlich
la montagne;Gebirge / Berg
la grippe;Grippe
bravo;brav
la catégorie;Kategorie
le novembre;November
l'administration (f);Verwaltung
la brosse;Bürste
prêter;borgen, leihen, darleihen, entlehnen, verleihen
l'Espagne (f);Spanien
par exemple;zum Beispiel
affecter;berühren / bewegen, erschüttern, rühren / ergreifen, erregen
s'élancer;eilen, rennen
l'Australie (f);Australien
apprendre à;Auskunft geben, benachrichten, informieren, mitteilen / angeben, verkünden, ankündigen
l'aiguille à coudre (f);Nadel
le climat;Klima
le bras;Arm
la marche;Fahrt / Staffel, Stufe
sonore, à haute voix;laut
le collègue;Amtsbruder, Amtsgenosse, Genosse, Kollege
être habitué à, avoir coutume, avoir l'habitude de;sich gewöhnen
l'appel (m);Ruf
la terrasse;Terrasse
la nuit;Nacht
le derrière;hinter, nach / After, Gesäß
africain;afrikanisch
inviter;einladen
clair;hell, licht, lichtvoll / anschaulich, bestimmt, deutlich, klar
l'épaule (f);Achsel, Schulter
la fureur;Grimm, Wut
la patience;Geduld
s'abstenir de;sich enthalten / sich ... enthalten / ausweichen, entweichen, vermeiden
le Russe;Russe
japonais;japanisch
le ciel;Himmel
saint, sacré;heilig
admettre;annehmen, empfangen, genehmigen / zulassen / beipflichten, beistimmen, einwilligen, zustimmen, zuwilligen
conduire;führen, leiten / lenken, steuern
la chaussette;Halbstrumpf, Socke / Strumpf
bonjour;Guten Morgen / Guten Tag
remporter;erlangen, erzielen, reichen, erreichen / erringen, gewinnen
le grande personne, l'adulte (m);Erwachsener
soigneux;besorgt
admirer;bewundern
l'effet (m);Effekt, Wirkung
le nom;Name
maigre;mager / hager
la crème;Rahm, Sahne
superficiel;flach / oberflächlich
chevaucher, monter à cheval;reiten
multicolore, bigarré;bunt
hormis, sauf;ausgenommen, außer
l'étranger (m);Ausländer
le bourgeois;Bürger
ceci;dies
général;allgemein
le chrétien;Christ
quatre-vingts;achtzig
bonsoir;Guten Abend
Europe;Europa
entre;unter, mitten unter, zwischen
l'Irlande (f);Irland
bienvenue;willkommen
la durée;Zeit
neiger;schneien
supérieur;oberer, obere, oberes / höher, überlegen / Ober-
mademoiselle, demoiselle;Fräulein
aimer;gern haben, lieben, mögen / achten, schätzen, wertschätzen, würdigen
malsain, malade;krank
le feu;Feuer
l'olive (f);Olive
louer;mieten
la nature;Natur
le conseil;Rat, Ratschlag
aider, secourir, assister;assistieren, beistehen, helfen
le primeur;Neuheit
le septembre;September
le vin;Wein
appeler;rufen, anrufen
le rôti;Braten
pâle;blass, bleich, fahl
produire;erzeugen, hervorbringen, produzieren
la commune;Gemeinde
l'opération (f);Operation
portugais;portugiesisch
ralentir;aufhalten, hemmen / ermäßigen
voyager;reisen
le mur;Mauer, Wand
l'ingénieur (m);Ingenieur
dactylographier, taper;tippen
évidemment;offenbar
puissant;kräftig, stark / mächtig, vermögend, gewaltig
la série;Kette, Reihe, Serie
l'ouest (m);Abendland, Okzident, Westen
rencontrer;antreffen, begegnen
bien;gut, wohl / ja, doch / sehr
le paysan, le laboureur;Bauer
la tasse;Tasse
intéresser;interessieren / angehen, anlangen, betreffen
quarante;vierzig
la monnaie;Geld / Kleingeld
le boucher;Fleischer
réellement;tatsächlich
la cerise;Kirsche
au-delà de;über ... hinaus, vorbei, vorüber / jenseits, über, hinüber
la source;Quelle
le maestro;Meister
la date;Datum
l'enseignement (m);Unterricht
altier, fier;hochfahrend, hochmütig, stolz
le cuir;Leder
le groupe;Gruppe / Abteilung
le veau;Kalbfleisch / Kalb
l'étude (f);Studium
la rive;Küste, Strand, Ufer, Gestade
le mineur;Bergmann, Grubenarbeiter, Kumpel
la complaisance;Gefallen, Gefälligkeit
la spécialité;Abteilung, Fach
récolter;einernten, schneiden
le temps;Zeit / Wetter, Witterung
mettre;einsetzen, inserieren / legen, setzen, stecken, stellen / anziehen
la sève, le suc, le jus;Saft
trop;zu, zu sehr, zu viel
l'office (m);Amt, Anstellung, Dienst / Speisekammer
rapide, prompt;geschwind, hurtig, rasch, schnell
le tramway;Straßenbahn
piquant;grell, herb, scharf / gewürzt
l'automobile (f);Auto, Automobil
le peintre;Maler
nulle part;nirgends
le signal;Signal
la technique;Technik
le samedi;Samstag, Sonnabend
rouge;rot
habiter;wohnen / bewohnen
autrichien;österreichisch
le contraire;Gegensatz, Gegenteil
habit (m);Frack, Rock / Anzug, Bekleidung, Gewand, Kleidung
l'agneau (m);Lamm
le musicien;Musiker
l'auto (m);Auto / Automobil
la langue;Zunge / Sprache
après-demain;übermorgen
la sincérité;Aufrichtigkeit
l'idée (f);Gedanke, Idee, Vorstellung
suisse;schweizerisch
la nourriture;Gericht, Speise / Ernährung, Futter, Nahrungsmittel
la couleur;Farbe, Schminke
le pourboire;Trinkgeld
madame;Dame, Herrin / Frau
autant;solcher, solche, solches / derartiger, derartige, derartiges / sofern, insofern, sosehr, soviel, soweit
tirer un trait;streichen
le sang;Blut
la physique;Physik
tourner;drechseln, drehen / kehren, umdrehen, umwälzen, wenden, umwenden / einschalten
féliciter;beglückwünschen, gratulieren
la surprise;Überraschung
former;bilden, formen, gestalten
froid;kalt
le rez-de-chaussée;Erdgeschoss
le combat;Kampf, Schlacht
le facteur;Briefträger
divers;verschieden
la chemise;Verzeichnis, Ordner / Hemd
désirer;wünschen
le rêve;Traum
herbe (f);Gras
tuer;ermorden, töten
la serviette de table;Serviette
le livre;Buch
allemand;deutsch
dessus, en haut;oben
joli;hübsch
la chair, la viande;Fleisch
l'espèce (f);Spezies / Abart, Art, Gattung, Schlag, Sorte
la ville, la cité;Ort, Stadt
la gorge;Gurgel, Kehle
le besoin d'activité;Tätigkeit
l'argent (m);Silber / Geld
éduquer;aufziehen, bilden, erziehen, züchten
seul;allein, alleinig, bloß, einzig
quinze;fünfzehn
l'été (m);Sommer
célèbre;berühmt
posséder;besitzen
le juin;Juni
les cheveux;Haar / Haare
le kilogramme;Kilogramm
coupable;schuldig
fréquemment, souvent;häufig, oft
l'école (f);Schule
le port;Frankatur, Porto / Hafen
le vendredi;Freitag
corriger;berichtigen, korrigieren, verbessern
entrer dans;eintreten
recueillir;sammeln, einsammeln / einernten, schneiden
le lit;Bett
le palais;Palast, Schloss / Gaumen
donc;also, daher, denn, doch, folglich, jedoch, somit, wohl
le genre;Geschlecht, Gattung, Genus / Abart, Art, Schlag, Sorte
le moteur;Motor
la fonction;Funktion, Tätigkeit, Wirksamkeit / Amt, Anstellung, Dienst
le soulier, la chaussure;Schuh
croiser;kreuzen
hôte (m);Gastgeber / Gast
necessaire;erforderlich, nötig, notwendig
la glace;Eis, Gefrorenes, Speiseeis
la France;Frankreich
la colline;Halde, Hügel
le pull-over, le chandail;Pulli
faire cesser;beenden, unterbrechen
la moitié;Hälfte
fermer;schließen, verschließen, zumachen / zuschließen
la cuisine;Küche
le jeudi;Donnerstag
la réputation;Berühmtheit / Gerücht, Ruf / Renommee / Ansehen, Reputation
l'âme (f);Gemüt, Seele
étroit;schmal
proposer;beantragen, vorschlagen
unique;einzig
la jeune fille;Mädchen
la photo;Lichtbild, Bild, Foto
le choix;Auslese, Wahl
autre;anderer, anders, sonst / übrig
l'attention (f);Achtung, Aufmerksamkeit
la boîte aux lettres;Briefkasten
l'Amérique (f);Amerika
aussitôt;gleich, sogleich / sofort, umgehend
la sorte, l'acabit (m);Abart, Art, Gattung, Schlag, Sorte
périlleux;besorglich, gefährlich / waghalsig
la rivière;Fluss
le mardi;Dienstag
la fièvre;Fieber
frapper;hauen, schlagen / klopfen / treffen
comprendre;begreifen, erfassen, verstehen
oublier;vergessen
protester;anfechten, beanstanden, Einspruch erheben, protestieren
l'Europe (f);Europa
la station;Haltestelle, Station
le petit déjeuner;Frühstück
spécialement;ausdrücklich, besonders, speziell
hauteur (f);Höhe
étendu;weit, umfassend / ausgedehnt, geräumig
entièrement, complètement;völlig / ganz, gänzlich, gar
le soir, la soirée;Abend
préparer;bereiten, vorbereiten
préoccuper;beängstigen, beunruhigen
l'âne (m), baudet;Esel
le bébé;Baby
suffisamment, assez, passablement;genug, genügend, hinlänglich, ziemlich
la sagesse;Vernunft, Verstand / Weisheit, Klugheit
le juillet;Juli
de préférence, le mieux;am liebsten, lieber
la trêve;Pause / Ruhe
nouer;binden, verbinden / knoten
perdre;verlieren
cependant, tout de même, néanmoins, pourtant;aber, doch, dennoch, jedoch
le recours;Appellation, Berufung / Benutzung, Gebrauch
communiquer;anschließen, mitteilen, verbinden
fort;kräftig, stark / laut / sehr
grec;griechisch
la conscience;Gewissen / Bewusstsein
l'ampoule (f);Birne, Glühbirne
le bâton;Stab, Stock / Stange
près;dabei, daneben / nahe
démolir;vernichten, zerstören / niederreißen, abbauen
en prime;zudem / außerdem
solliciter;anziehen / beschwören, flehen
un jour;einmal, einst, irgendwann, jemals
habitant (m);Bewohner, Einwohner
limpide;anschaulich, bestimmt, deutlich, klar
le cheveu, la chevelure, le poil;Haar
renfermer, contenir;enthalten / einschließen
abortif;vergebens, vergeblich
l'annonce (f);Annonce, Anzeige, Inserat
représentatif;typisch
l'Anglais (m);Engländer
pas, ne ... pas;nein
et puis;außerdem, übrigens, zudem
le jardin;Anlage, Garten
ici;hier
cinquante;fünfzig
le respect;Achtung, Ehrfurcht, Respekt
le timbre-poste;Briefmarke
friser, coiffer;frisieren
l'eau (f);Wasser
la banque, le banc;Bank
dominant;höher, überlegen / Haupt-, hauptsächlich
chinois;chinesisch
le dentiste;Zahnarzt
le fer;Eisen
plusieurs;verschiedene / mehrere
le cousin;Mücke / Cousin, Vetter
geler;frieren
concerner;angehen, anlangen, betreffen / sich beziehen (auf), beschäftigen (mit), zu tun haben (mit), sich verhalten (zu)
arracher par violence;entreißen
l'influence (f);Einfluss
l'ouvrier (m);Arbeiter
anglais;englisch
la Belge;Belgierin
la direction;Direktion / Leitung, Führung / Kurs, Richtung
le gel;Frost
le potage, la soupe;Suppe
la serviette;Serviette / Handtuch
couvrir;belegen, decken, bedecken, einhüllen, verhüllen, zudecken
les mathématiques;Mathematik
la santé;Gesundheit
le cours;Kurs, Kursus
oh;ach, oh
jeune;jugendlich, jung
le discours;Diskurs / Rede, Vortrag / Wort
avoir lieu;geschehen, passieren, sich ereignen, stattfinden, vorkommen
l'invitation (f);Einladung
la pluie;Regen
être joyeux;frohlocken, sich freuen
la barbe;Bart
l'importance (f);Ausdehnung, Bereich, Dimension, Fassung, Gehalt, Umfang / Tragweite, Wichtigkeit / Bezeichnung, Meinung, Bedeutung
l'instituteur (m);Lehrer
quelquefois, parfois;manchmal
la rencontre;Rendezvous / Begegnung
le prénom;Vorname
âgé;alt
interrompre;unterbrechen / beenden
la ceinture;Gurt, Gürtel
le citron;Zitrone
le mouvement;Bewegung
puis;dann, darauf, hinterher, nachher, später
l'emploi (m);Amt, Anstellung, Dienst / Posten
l'immeuble (m);Gebäude, Villa / Bau, Bauwerk
l'espace (m);Raum
la mer;Meer, See
la main;Hand
organiser;einrichten, organisieren
le parent;Verwandter
trente;dreißig
la classe;Klasse
se dresser, être debout;stehen
la manière;Art, Manier, Weise
la figure;Abbild, Figur, Gestalt / Angesicht, Antlitz, Gesicht
la peine;Schmerz, Weh / Bemühung, Mühe, Mühsal, Versuch / Bestrafung, Strafe / Ärger, Betrübnis, Verdruss
l'oreille (f);Ohr
l'ouvrage (m);Arbeit
peu de;wenig
placer;legen, stellen
bouillir;kochen, sieden, brausen
à l'abri, en sûreté;sicher
le cent;hundert
la neige;Schnee
arrière;hinten
la résolution;Beschluss, Entschluss / Resolution
la cuisinière;Herd, Ofen / Köchin
privé;privat
l'arôme (m);Aroma, Duft
parmi;in, nach, zu / unter, mitten unter, zwischen / inmitten von / an, bei
le plus;meist, am meisten
le toit;Dach
raisonner;räsonieren, schließen, urteilen
antique;altertümlich, antik
la bibliothèque;Bibliothek / Bücherei / Bücherschrank
le février;Februar
bluffer;täuschen
le gant;Handschuh
rapidement, vite;flugs, geschwind, schnell
idiot;albern, dumm
d'abord;allerdings, freilich, immerhin, ja, ja doch, wohl, zwar / anfänglich / gleich, sogleich / sofort, umgehend / erst, erstens, zuerst
ressembler, rejoindre;ähneln, gleichen
accompagner;begleiten
le pépin, le grain;Korn
rire;lachen
l'abbé (m);Abt / Geistliche / Pastor, Pfarrer, Priester
immédiat;direkt / sofortig, unverzüglich
d'ailleurs;andernteils / außerdem, übrigens, zudem / fort, weiter
le passé;Vergangenheit
le samedi;sonnabends
hors de;aus, aus ... heraus
regarder;angehen, anlangen, betreffen / anblicken, ansehen, blicken, schauen, zuschauen, zusehen
nager;schwimmen
proche, prochaine;bevorstehend, kommend, künftig, nächst, nahe
le genou;Knie
adresser;adressieren / schicken, senden, einsenden
ôter;abschaffen, beseitigen, entfernen, fortschaffen, wegbringen / bergen, suspendieren, zurücklegen / abräumen, fortnehmen, entziehen, wegnehmen
attendre;warten, erwarten, harren
la terre;Grund (Boden), Boden (Grund), Erdboden, Grund / Boden, Erde, Land, Terrain
le légume;Gemüse
la fourchette;Gabel
sourire;lächeln
l'amie (f);Freundin
tomber, s'abattre;fallen
la bête;Tier
lire;lesen
montrer;angeben, weisen, hinweisen, zeigen
coucher;legen
le bâtiment;Bau, Bauwerk, Gebäude
avis;Rat, Ratschlag / Äußerung, Gesinnung, Meinung
bercer;wiegen
l', les, le, la;der, die, das
le chien;Hund
la mère;Mutter
l'odeur (f);Geruch
le sens;Sinn, Verstand
barde;Barde, Sänger
surveiller;achtgeben, aufpassen, beachten, zusehen / kontrollieren, nachsehen, überwachen / herrschen, beherrschen, regieren
le fromage;Käse
jouer;(Theater) spielen / spielen
l'anxiété (f);Angst, Beklemmung
le repas;Essen, Fraß, Mahlzeit
les gens;Leute
le monsieur;Herr
accoutumé, habituel;geläufig, üblich
l'accusation (f);Anklage, Beschuldigung / Anzeige
créer;schaffen, erschaffen
ensemble;aneinander, beisammen, gesamt, insgesamt, zugleich, zusammen
marier;heiraten
ainsi, tellement, comme cela;so, auf diese Weise
malheureusement;bedauerlich, leider / unglücklich
quelque part;irgendwo
le degré;Grad, Staffel, Stufe
barguigner, hésiter;schwanken, zaudern, zögern / taumeln, wackeln, zagen
le ruban, le lien;Band
noter;anmerken, aufschreiben, aufzeichnen, notieren
le mécanicien;Mechaniker
lisse;geläufig, glatt
le docteur;Doktor / Arzt
le moyen;Mittel
pleurer;weinen
la revendication;Anforderung, Begehr, Forderung, Verlangen
la teinte;Farbe / Abstufung, Nuance, Schattierung, Ton
la science;Wissenschaft
les loisirs, le congé;Ferien
inquiet;heftig, unruhig / besorgt
le magasin;Geschäft, Laden, Kramladen
le flanc;Flanke, Seite
heure (f);Stunde, Uhr
s'ennuyer;sich langweilen
honneur (m);Ehre
l'institutrice (f);Lehrerin
complet;vollzählig, vollkommen, komplett, vollständig, vollständiger (Raum) / voll
normal;normal
la différence;Unterschied
l'aéronef (m);Flugzeug
la profession;Beruf, Gewerbe
le dessert;Dessert, Nachtisch
net;anschaulich, bestimmt, deutlich, klar / rein, netto
découper, couper avec des ciseaux, tondre;scheren, abscheren, schneiden, abschneiden
trahir;verraten
le confort;Behaglichkeit, Komfort
la cotisation, la collaboration;Beitrag
l'auteur (m);Autor, Urheber, Verfasser / Schriftsteller
une certaine quantité;ein wenig, etwas, ziemlich, ein bisschen
la question;Frage
italien;italienisch
ample, large;weit, umfassend / breit / ausgedehnt, geräumig
l'autorisation (f), le permis;Erlaubnis
coûter, revenir à;kosten
le prix;Prämie, Preis
le taxi;Taxe, Taxi
permettre;erlauben, gestatten
freiner;bremsen
le cahier;Heft
le repos;Pause / Ruhe / Stille
le bain, la bain, la piscine;Bad
renoncer, résigner;entsagen, verzichten
la richesse;Reichtum
l'onde (f);Wasser / Welle, Woge
la poussière;Staub
régler;führen, leiten, lenken / ordnen, anordnen / berichtigen
différer d'avis, diverger d'opinion;ablehnen
l'avion (m);Flugzeug, Flugmaschine
sec;trocken
le lac;See
l'infirmité (f);Gebrechen / Krankheit, Erkrankung
le sot;Tor
la naissance;Geburt
travailler;arbeiten
en outre;ausgenommen, außer / zudem / außerdem / fort, weiter
la cave;Keller
seize;sechzehn
le pré, la prairie;Anger, Aue, Wiese
la ligne;Angelleine / Linie, Strich, Zeile
conjecturer, se douter de;mutmaßen, vermuten
achevé, parfait;perfekt, trefflich, vollendet, vollkommen
gouverner, régner;herrschen, beherrschen, regieren
le château;Burg, Schloss
le chanteur;Berufssänger, Kantor, Sänger
la table;Tisch
l'Allemande (f);Deutsche
la farine;Mehl
le café;Café / Kaffee
capable;begabt, fähig, imstande, tüchtig
le piano;Klavier
la gare;Bahnhof / Haltestelle, Station
calme, paisible, tranquille;fromm, gelassen, ruhig, sanft / gemütlich, still
l'atelier (m);Atelier, Studio / Werkstatt
le mariage;Ehe / Vermählung / Heirat, Hochzeit
baiser;küssen
boire;trinken
auprès;nahe
la démarche;Gang, Schritt / Lauf / Bemühung, Mühe, Mühsal, Versuch
suprème, surplombant;höher, überlegen
de nouveau;abermalig, abermals, von neuem, wieder / wiederholt, zurück
l'Européen (m);Europäer
recouvrir;belegen, decken, bedecken, einhüllen, verhüllen, zudecken / beziehen, überziehen
paresseux;faul
disparaître;wegbegeben / entschwinden, verschwinden
américain;amerikanisch
arranger, accommoder;arrangieren, einrichten, ordnen, anorden, veranstalten
le dessin;Zeichnung
blanc;weiß / rein
encore;noch / abermalig, abermals, von neuem, wieder / wiederholt, zurück
soixante;sechzig
visiter;besuchen, einen Besuch abstatten
fleurir;blühen
l'étage (m);Etage, Geschoss, Stock, Stockwerk
merveilleux;wunderbar
l'ordre (m);Ordnung
l'octobre (m);Oktober
voir;sehen, ansehen
vilain, laid;hässlich
recouvrer;kassieren / genesen, heilen
le montant, la somme;Betrag, Summe
discerner, percevoir;auffassen, wahrnehmen
le bois;Gehölz, Hain / Forst, Wald / Geweih / Holz
la paye, le versement;Bezahlung, Zahlung
le passeport;Pass, Reisepass
justement;richtig / bündig / treffend / eben, gerade, just, soeben
propre;eigen / blank, rein, reinlich, sauber
les Pays-Bas;Niederlande, die Niederlande
épais, gros;dick
la punition;Bestrafung, Strafe
poser;anfertigen, herstellen, leiten, machen, tun, zurücklegen / einführen, einrichten, einsetzen, installieren / bauen, aufbauen, erbauen, konstruieren / legen, stellen / setzen, stecken / posieren
autrement;anders
le fond;Hintergrund / Boden, Grund / Hauptsache
corrompre;korrumpieren, verderben
le soldat;Soldat
l'étoile (f);Stern
la côte rivage;Küste
écrire;schreiben / abfassen, verfassen
le côté;Flanke, Seite
la rue;Straße
se souvenir, se rappeler;behalten, gedenken, sich erinnern
la pharmacie;Apotheke
retrancher;abrechnen / abholen, abnehmen / abschneiden / abräumen, fortnehmen, entziehen, wegnehmen / abziehen, subtrahieren
la mesure;Maß / Takt
le patient;Patient
le remerciement;Dank
apte à;begabt, fähig, imstande, tüchtig / tauglich
la réunion;Versammlung, Zusammenkunft
l'issue (f);Ausgang
lointain;entlegen, fern, weit
uni;eben, glatt, flach / geläufig
ponctuel;akkurat, genau
ordinaire;gewöhnlich
le monde;Welt
le compte;Konto, Rechnung
sauter;springen
badiner;scherzen
la salade;Salat
peigner;kämmen
père et mère, les parents;Eltern
veiller sur;beaufsichtigen, warten
grandiose;grandios, großartig
plutôt;lieber / am liebsten / genug, genügend, hinlänglich, ziemlich
surprendre;befremden, überfallen, überraschen
le garage;Garage
autour de, parages;um, um ... herum
haïr;verabscheuen / hassen
étudier;studieren
essayer;erproben, probieren, prüfen, versuchen
obliger;zwingen / aufdrängen, aufnötigen, dringen, aufdringen
la pomme de terre;Erdapfel, Kartoffel
courber;biegen, beugen, flektieren
la cloche;Glocke, Klingel
penible, difficile, lourd;schwer
actif;aktiv, tätig / aufgeweckt, flink, frisch, gewandt, hurtig, munter, wach
le jeu;Aufführung, Spiel
se porter;sich befinden
goûter;kosten, schmecken
pratiquer;anwenden, verwenden / praktizieren
cuire, cuisiner;kochen
mériter;verdienen
l'appréhension (f), la crainte;Angst, Furcht
horloge (f);Uhr
la mode;Mode, Weise
embrasser;umarmen / küssen
le souhait;Wunsch, Bestrebung / Glückwünsch / Lust
l'objet (m);Ding, Gegenstand, Objekt
le gouvernail;Lenkrad, Ruder, Steuer / Steuerrad
rien;nichts / gar nichts
comme;als ob, gleichsam / da, weil / denn / als, wie, inwiefern / so, auf diese Weise
le compte-rendu;Protokoll / Bericht, Meldung, Rapport, Referat, Vortrag / Rezension
sauvage;wild
le parlement;Parlament
recevoir solennellement;willkommen heißen
l'infirmière (f);Krankenschwester
l'achat (m);Kauf, Einkauf, Erwerb
le bureau;Büro, Geschäftszimmer / Amt
le bureau de poste;Postamt
le déjeuner;Mittagessen
le raisin;Traube, Weintraube
