hygiène (f);Hygiene, Gesundheitspflege
autochtone;heimatlich, einheimisch
habitude (f);Angewohnheit, Brauch, Gebrauch, Gepflogenheit, Gewohnheit, Usus
le sentier;Fußweg, Pfad, Steg, Steig
le robot;Roboter
le billet;Billett, Fahrkarte, Karte
la suite;"Gefolge; Fortsetzung; Folge, Konsequenz; Erfolg, Ergebnis, Resultat; Sequenz; Aneinanderreihung, Reihenfolge, Verkettung"
faire les cent pas;schreiten, treten
qui reste;übrig
la brûlure;Verbrennung, Brandwunde
le Cachemire;Kaschmir
le texte;Text
hymne (m);Hymne, Lobgesang
l'incitation (f), l'impulsion (f);Andrang, Antrieb, Impuls
causer;"antun, bewirken, veranlassen, verursachen, zufügen; hervorrufen"
hutte (f), la cabane, la chaumière;Hütte
la réponse;"Reaktion; Widerlegung; Antwort"
insulter;beleidigen, schimpfen, beschimpfen, schelten
pour ainsi dire;gewissermaßen
le pied;Bein, Fuß, Pfote
satisfaisant;annehmbar
situer;"identifizieren; legen, stellen; hervorrufen"
le cordonnier;Schuhmacher, Schuster
la poutre;Balken
porter plainte, se plaindre;klagen, sich beklagen, verklagen
allergie;Allergie
le piquet, la gaule, la barre, le barreau;Stange
vis-à-vis;"stirnseitig, frontal, frontseitig; betreffs, bezüglich"
accoupler;"fügen, gesellen, vereinigen; kuppeln, koppeln; einigen"
l'ordonnance (f);Rezept
le bouton;"Finne, Pickel; Knopf"
le psychisme;Psyche, Geist
entraîner des conséquences;"hervorbringen; antun, bewirken, veranlassen, verursachen, zufügen"
apprendre;"lehren, belehren, unterrichten, unterweisen; lernen"
l'éclipse (f);Finsternis
intime;gemütlich, innig, intim, vertraulich, vertraut
immense;unermesslich
le cendrier;Aschenbecher
auditrice;Zuhörerin
aspirer à;"beanspruchen, zumuten; sich ersehnen, sich sehnen"
analogue;analog, entsprechend
la génération;Generation, Geschlecht
classique;klassisch
la surface;Fläche, Oberfläche
inespéré;unverhofft
Hongrie (f);Ungarn
hôtesse de l'air (f);Stewardess
le lacet;"Schnur; Schuhband"
tout de suite, immédiatement, sitôt;gleich, sofort, umgehend, sogleich
ménager;bedauern, beklagen
le salut;"Gruß; Heil"
radical;"drastisch, stark wirkend; gründlich, triftig; radikal; eingehend"
le badinage;Jux, Scherz, Spaß
se conduire;sich aufführen, sich benehmen, sich betragen, sich verhalten
logique;"konsequent, folgerichtig; logisch"
le regard;Blick, Einsicht
brouiller, rendre confus, rendre trouble, perturber;stören
récent;jüngste, letzte
construire;"anfertigen, herstellen, leiten, machen, tun, zurücklegen; einführen, einrichten, einsetzen, installieren; bauen, aufbauen, erbauen, konstruieren"
l'avant-bras (m);Unterarm
le niveau;Niveau
le coiffeur;Friseur, Frisör
la blague;Scherz, Streich
la prune;Pflaume
obséder;verfolgen, heimsuchen
se disputer;"disputieren, streiten; zanken"
l'abord (m);"Annahme, Übernahme, Zusage; Eingang, Eintritt; Verhältnis, Zusammenhang; Begegnung"
l'autorité (f);"Autorität, Ansehen, Einfluss; Gewalt; Befehlsgewalt"
s'efforcer;streben
le four;"Brotform, Backform, Backofen, Kuchenform; Herd, Ofen"
le rhume;"Erkältung; Katarrh"
renouveler;erneuern
le diplôme de fin d'études;Abitur
dispenser;"austeilen, verteilen, zuteilen; verallgemeinern; entschuldigen; ausnehmen, ausschließen"
revoir;"wiedersehen; revidieren"
remplacer;ablösen, ersetzen
coller;"zusammenheften, kleben; leimen"
la Saxe;Sachsen
la coiffure;Frisur
part, partie, portion, contingent;Anteil, Stück, Teil, Partie
la prière;Gebet
riche;ausgiebig, reich, vermögend
précédent;vorig
être de service;Dienst tun, dienen
délicat;delikat, fein, zart
mobilier;beweglich
l'esclave (m);Knecht, Sklave
l'abc (m);Alphabet
reconnaître;"anerkennen; auszeichnen, hervorheben, unterscheiden; forschen, erforschen, untersuchen; beichten, gestehen, eingestehen; wiedererkennen"
séparer;"absondern, abteilen, abtrennen, scheiden; entzweien"
la vapeur;Dampf
investir;einkleiden
le Cuba;Kuba
précieux;wertvoll
sauver;retten, erlösen, erretten
réformer;"befreien, entledigen, erledigen, freilassen, frei machen; bessern, ausbessern, verbessern, veredeln; reformieren"
l'envoyeur (m);Absender
piétiner, marcher sur, fouler aux pieds;treten
la vierge;Jungfrau
le pin;Kiefer
l'accès (m);"Zugang, Zutritt; Anfall, Angriff, Offensive"
l'agriculture (f);"Ackerbau; Landwirtschaft; Landwirtschaftskunde"
la correction;Berichtigung, Korrektur, Verbesserung
s'adosser, s'accoter;sich stützen
la destination;"Adresse; Bestimmung"
la chèvre;Ziege, Zicke
gâter;verderben, verschlechtern, verschlimmern
mélancolique;wehmütig
la tonne;Tonne
bavard, babillard;"geschwätzig, schwatzhaft; Plappermaul, Schwätzer"
adulte;ausgewachsen, erwachsen
décorer;"schmücken, dekorieren, verzieren; aufputzen"
tirer;"feuern, schießen; ziehen, verziehen"
l'adoratrice (f);Verehrerin
cautionner;bürgen, Gewähr leisten, haften, verbürgen
les fonds;"Bauernhof, Besitzung, Gut, Landgut; Fonds; Kapital"
venimeux;giftig
accumulator, accu;Batterie, Akku, Akkumulator
faire accepter;erzwingen, aufnötigen
la préposition;Präposition, Verhältniswort
interroger;befragen
le remplacement;"Stellvertretung; Surrogat"
rupture;Einbruch
moral;"billig, gerecht; moralisch, sittlich"
dégager;"auszeichnen, hervorheben, unterscheiden; ausfließen; auslassen; verfließen"
être bon à;taugen
la ferveur, le zèle;Eifer, Inbrunst
bien entendu;verständlich
la panne;Panne
le millimètre;Millimeter
le Juif;Jude
l'ennui (m);Langeweile
saisir;"brühen; greifen, angreifen, ergreifen; erbeuten, ertappen, erwischen, fangen, fassen; mit Beschlag belegen, konfiszieren; auffassen, wahrnehmen; treffen"
agresser;angreifen, anfallen
ranger;"einreihen; ordnen, anordnen"
le mal;"Schmerz, Weh; Mitleid; Übel"
l'ours (m);Bär
l'Afghane (f);Afghanin
l'alphabet (m);Alphabet
cesser;"beschließen, enden, beenden, endigen, beendigen, erledigen; aufhören"
le consulat;Konsulat
fonder;fundieren, gründen, begründen
en accord avec, conforme à;übereinstimmend mit
la pente;Abhang, Halde, Steilung
renverser;kappen, umstoßen, umstürzen, umwerfen
la reconnaissance;"Anerkennung; Dankbarkeit; Patrouille; Erkennung; Aufklärer, Pfadfinder"
vingtième;zwanzigster, zwanzigste
s'humilier;sich unterwerfen
le détachement, le commando;Abteilung
les fiançailles;Verlobung
le rabais;Nachlass, Rabatt, Vergünstigung, Vergütung
licencier;abdanken, entlassen, verabschieden
docile;"folgsam, gefügig; fügsam, gehorsam, zahm"
la Jérusalem;Jerusalem
d'une façon ou d'une autre, de façon ou d'autre;einigermaßen, irgendwie
le pavillon;"Banner, Fahne, Flagge; Glocke, Kappe; Pavillon; Standarte"
la tente;Baracke, Zelt
le faiseur d'embarras, le poseur;Wichtigtuer
relier;"binden, einbinden; verbinden, verknüpfen"
apprécier;"schätzen, würdigen; achten, hochschätzen; abschätzen, bewerten, einschätzen; mögen, wertschätzen"
acheteur;Käufer
discuter;diskutieren, erörtern, verhandeln
boiteux;hinkend, lahm
le savant;Gebildeter
décrire;beschreiben
l'athéisme (m);Atheismus, Gottesleugnung
asservissement;Sklaverei
la flamme;Flamme
l'os (m);Gebein, Knochen
aveugler;blenden
le spectacle;"Anblick, Aussehen, Aspekt; Äußeres; Blick, Einsicht; Spektakel"
le menuisier;Tischler
le couple;"Ehepaar; Paar, geordnetes Paar"
se hâter;"hasten; stürmen"
la goutte;Tropfen
norvégien;norwegisch
banquette;Bank, Hocker
le tiroir;Lade, Schublade, Tischlade
réveiller;wecken, aufwecken, erwecken
adorer;"anbeten, verehren, vergöttern; kultisch verehren, Kult treiben"
la préface;Vorrede, Vorwort
la séance;"Sitzung; Aufführung, Darbietung, Vorlegung, Vorstellung, Präsentation; Vorführung"
la conséquence;"Folge, Konsequenz; Reaktion"
ruminer;hin und her überlegen, nochmals kauen, wiederkäuen
épuiser;"ermüden; entkräften, verweichlichen"
la cérémonie;Feierlichkeit, Förmlichkeit, Zeremonie
traduire;übersetzen, übertragen
appliquer;"anlegen, beifügen; anwenden, verwenden; legen, setzen, stecken, stellen; anziehen; benutzen, brauchen, gebrauchen, verwerten"
la fourmi;Ameise
le simulacre;"Spottwort; Hohn, Spott, Spotten"
voyager au loin;wandern
administratif;Verwaltungs-
aller;"sich befinden; fahren, gehen, treten"
avoir l'air de;aussehen
l'empire (m);"Kaiserreich, Kaisertum; Einfluss"
pousser;"anfeuern, jagen, treiben, vor sich hertreiben; dringen, rücken, stoßen"
le profit;Ertrag, Gewinn, Interesse, Nutzen, Verdienst, Vorteil
la chaîne;"Kettenline; Kette"
le bac;"Kasten, Kiste, Truhe; Fähre; Behälter, Besteck, Krug"
la soustraction;Subtraktion
agglutiner;zusammenheften, kleben
cultivé;gebildet, gesittet
à partir de, dès, depuis;von ... ab, seit
liquide;flüssig
l'amante (f);Liebhaberin
parer;"ausweichen, entweichen, vermeiden; aufputzen, schmücken, verzieren"
Athènes;Athen, Athene
le compteur;Zähler
le bien, la propriété foncière;Bauernhof, Besitzung, Gut, Landgut
l'adorée (f);Verehrte
le traître;Verräter
l'amusement (m);"Unterhaltung, Vergnügen; Amüsement; Zerstreuung, Ablenkung; Erholung"
l'agent (m);"Agent; Polizist, Schutzmann"
-té;-heit, -keit
transformation;Veränderung
fuir;fliehen, flüchten
le faux-col;Kragen
la retraite;Ruhegeld, Altersruhegeld, Rente, Pension
la remarque;"Bemerkung; Beobachtung, Vermerk"
l'arme (f);Waffe
le militaire;Militär
souterrain;unterirdisch
saillant, prohéminent, remarquable;hervorragend, hervorstehend
le cycliste;Radfahrer
l'accusatif (m);Akkusativ
l'araignée (f);Spinne
la comparaison;"Vergleichung; Gleichnis, Vergleich"
obéir;folgen, befolgen, gehorchen
apprendre à fond;erlernen
l'opération de caisse (f);Umsatz
le minimum;Minimum
commetre une faute, pécher;sündigen, sich versündigen
la mort;"Tod; Untergang, Verderbnis"
anticiper;vorausnehmen, vorwegnehmen
coïncider;"zusammenfallen, zusammentreffen; kongruieren"
l'aurore (f);"Morgenrot; Tagesanbruch; Morgenröte, Polarlicht, Reiz des Neuen, Zauber"
droit;"rechter; bieder, loyal; rechtwinklig; aufrecht, direkt, gerad, gradlinig, unmittelbar"
la rapidité;"Geschwindigkeit, Tempo; Eile, Hast"
adolescent;Jugendlicher
hériter;erben, beerben
vain;"vergebens, vergeblich; eitel, hinfällig"
la composition;"Komposition, Tonstück; Konsistenz, Beschaffenheit; Thema"
la serrure;Schloss, Verschluss
télécharger;runterladen
joindre;"beifügen, zufügen; anpassen; fügen, gesellen, vereinigen; verbinden, verknüpfen"
hystérique;"hysterisch; Hysterikerin; Hysteriker"
risquer;riskieren, wagen
examiner;"examinieren, inspizieren, nachsehen, prüfen, untersuchen; forschen, erforschen"
satisfaire, contenter;befriedigen, zufriedenstellen
serviable, complaisant;bereitwillig
ferme;fest, feststehend, firm, gediegen, stabil, wiederstandsfähig
blasphémer;lästern
déranger;"stören; beengen, behindern, belästigen, genieren, lästig werden"
prendre dans les bras;umarmen
la tribu;Stamm
cancaner, jaser;tratschen, klatschen
mobile;"beweglich; veränderlich, wetterwendisch"
assertion;Behauptung
le tabac;Tabak
s'accoupler;zusammenkommen
vaillant;"brav, tapfer, tüchtig, wacker; beherzt, dreist, getrost, mutig"
la revanche;"Vergütung; Rache"
attirer;"anziehen; ködern, locken"
mystérieux;geheimnisvoll, mysteriös
le capital;Kapital
adjacent;"angrenzend, anstoßend; benachbart"
le tir;Schuss
le réfrigérateur;Kühlschrank
le primevère;Primel, Schlüsselblume, Aurikel
l'Afrique du Sud (f);Südafrika
suggérer;suggerieren, vorschlagen, einreden
le manuel;Handbuch, Leitfaden, Kompendium
résoudre;"lösen, auflösen; umbilden, umgestalten, umwandern"
la cour;"Hof, Hofstaat; Gerichtshof"
le Talmud;Talmud
le gilet;Weste
le souci;"Traurigkeit; Ringelblume; Angst, Unruhe; Besorgnis, Sorge"
faire cadeau;schenken, beschenken, stiften, verehren, verschenken
réprimer;"bremsen; zügeln; zurückhalten; erpressen, unterdrücken"
préméditer;planen, vorher überlegen
la presse;"Gedränge; Zeitungslandschaft, Presse"
le garçon;"Junggeselle; Kellner; Junge, Knabe"
la pâture;"Viehfutter, Tierfutter; Ernährung, Futter, Nahrungsmittel; Weide, Wiese"
croître, s'accroître;gedeihen, wachsen, anwachsen
avarie;Beschädigung (während des Transports), Bruch (während des Transports), Havarie, Schaden (während des Transports), Seeschaden, Transportschaden
imposer;"anmuten; zwingen; besteuern; anziehen; aufdrängen, aufnötigen, dringen, aufdringen"
abhorrer, abominer, avoir en abomination;verabscheuen
accentuer;betonen, besonders betonen, akzentuieren
la Finlande;Finnland
la Jordanie;Jordanien
l'atome (m);Atom
slave;slawisch
le jour de l'an;"Neujahr; Neujahrstag"
acquéreur;"Käuferin, Kundin; Käufer, Kunde"
le calendrier;Kalender
la botte;Stiefel
paralyser;lähmen, lahm legen, paralysieren
herbe;Gras, Kraut
la bicyclette, le vélo, la bécane;Fahrrad, Rad
la concordance;"Akkord, Abkommen, Einklang, Übereinkommen, Übereinstimmung; Kongruenz (von Zahlen); Verantwortung; Übereinkunft"
tendre;"delikat, fein, zart; einschmeichelnd; weich; aufziehen, spannen, anspannen, ausspannen, straffen"
l'abattement (m);"Apathie, Teilnahmslosigkeit; Abnahme; Strapaze; Flauheit; Melancholie, Schwermut, Tiefsinn, Trübsinn, Wehmut"
la communion;Kommunion
le réveil, le réveil-matin;Wecker
le vinaigre;Essig
l'échelle (f);"Leiter; Maßstab, Skala"
certes;allerdings, freilich, immerhin, ja, ja doch, wohl, zwar
instruire;"üben, einüben; lehren, belehren, unterrichten, unterweisen"
l'adresse (f);"Adresse; Geschicklichkeit, Gewandtheit"
le trafic;Verkehr
hélice (f);Schneckenlinie, Schraube
tromper;"ehebrechen; beirren, irreführen; den Ehemann betrügen; betrügen, hintergehen, täuschen"
aplati;flach, platt
fabriquer;"anfertigen, fabrizieren, herstellen, verfertigen; leiten, machen, tun, zurücklegen"
le Pakistan;Pakistan
potable;genießbar
l'orthographe (f);Ortographie, Rechtschreibung
la batterie;"Batterie; Monozelle"
disperser;"entzweien, scheiden; zerstreuen, verstreuen; streuen"
sombre;"düster; dunkel, trübe; finster; wehmütig"
débattre;"agitieren; erörtern, debattieren; diskutieren, verhandeln"
le gaz;Gas
le dialecte;Dialekt, Mundart
le marbre;Marmor
passionnant, captivant;aufregend, spannend
recommandable;empfehlenswert, ratsam
amusant;lustig, unterhaltsam, amüsant
le maillot de corps;Unterhemd
résister;widerstehen
enchanter;bezaubern, entzücken, verzücken
la chimie;Chemie
arabe, arabique;arabisch
chuchoter;flüstern
le mendiant;Bettler
la strophe;Strophe
les abords;Umgebung
la dispute;Disput, Streit, Wortwechsel, Zank
afficher;plakatieren, aushängen, anschlagen
assureur;Versicherer
le Colomb;Kolumbus
personnel;"persönlich; eigen"
l'attente (f);Erwartung
local;"lokal, örtlich; regional"
réel;"real, wirklich; authentisch, echt, recht, urkundlich, wahr, wahrhaft"
mortel, meurtrier;tödlich
compliquer;komplizieren, verwickelt machen
la terreur;"Schreckensherrschaft, Terror; Entzetzen, Grauen, Schreck, Schrecken"
la menace;Bedrohung, Drohung
implorer;beschwören, flehen
naître;entstehen
l'autoroute (f);Autobahn
la mandarine;Mandarine
le prospectus;Prospekt
l'accusé (m);Angeklagter
aérogramme;Luftpostbrief
la patrie;Vaterland
irakien;irakisch
dans l'intervalle;einstweilen, indes, inzwischen, unterdessen
abandonner;"abtreten, nachgeben, weichen; entäußern, fortlassen, überlassen, unterlassen; entsagen, verzichten"
spontané;spontan
la réclame, la publicité;Reklame
fusiller;erschießen
grâce à;dank
l'élan (m);Elch
liste, liste de présentation, liste de candidats, proposition;Kandidatenliste
la variété;"Abwechslung; Varieté, Varietéprogramm"
poursuivre;"anfeuern, jagen, treiben, vor sich hertreiben; fahnden, verfolgen"
la virgule;Komma
gris;"angeheitert; grau"
éventuel;eventuell
s'apercevoir de;wahrnehmen, bemerken
apoplexie;Schlag(anfall), Schlagfluß
austral;südlich
la veste, le veston;Jacke, Jackett, Sakko
la grand-maman;Oma
mâcher;kauen
la librairie;Buchhandlung
apercevable;bemerkbar
la truie, le coche;Sau
comparer;vergleichen
néerlandais;holländisch, niederländisch
anticipation;Vorwegnahme, Erwartung
la correspondance;"Kongruenz (von Zahlen); Verantwortung"
le désastre;"Katastrophe; Ruin"
le baquet;"Bottich, Wanne; Behälter, Besteck, Krug"
la pâtisserie;"Gebäck; Backstube"
le chœur;Chor, Sängerchor
le Cameroun;Kamerun
rétorquer;zurückschlagen
abondamment;"im Überfluss, reichlich; ausführlich, eingehend"
érotique;erotisch
l'adultère (m);Ehebruch
la cathédrale;Dom, Kathedrale, Münster
annuellement;alljährlich
le troupeau;Herde
l'argument (m);Argument, Beweis
redouter;"befürchten, sich ängstigen, zagen; abschrecken, ängstigen, einschüchtern, verscheuchen"
total;ganz, total
alléchant, attrayant, attirant, affriolant, attachant;anziehend, attraktiv
se fier;sich verlassen auf, vertrauen
miniscule;winzig
analyse;Analyse, Untersuchung
le parachute;Fallschirm
l'assurance;"Versicherung; Bestimmtheit, Gewissheit, Sicherheit, Zuversicht"
l'abeille (f);Biene
la diète;Diät
se;einander, reziprok, wechselseitig
l'astronaute (m);Astronaut, Weltraumfahrer
la côte;"Abhang, Halde, Steilung; Küste; Rippe"
l'Argentine (f);Argentinien
la recommandation;"Ermahnung, Zuspruch; Warnung; Registrierung, Aufzeichnung; Empfehlung"
naturel;"angeboren; natürlich"
anonyme;anonym, ungenannt
regarder un spectacle, assister à, être spectateur de;zuschauen
deviner;enträtseln, raten, erraten
le Serbe;Serbe
dessiner;zeichnen, abzeichnen
réjouir;erfreuen
vide;"leer; unvermögend"
la louange;Lob
le coffre;"Kasten, Kiste, Truhe; Koffer"
se coucher;"sich legen, sich hinlegen; nach unten gehen, heruntergehen, hinuntergehen, untergehen"
l'abattage (m);"Gemetzel; Mut"
la fourrure;Balg, Fell, Tierhaut, Pelz
contrôleur;Aufseher, Führer, Kondukteur, Schaffner
les Alpes;Alpen
apathique;teilnahmslos, apathisch
le destinataire;Adressat, Empfänger
le parquet;Parkett
la plainte;"Anklage, Beschuldigung; Anzeige; Beschwerde, Klage; Jammer"
abaisser;"in Misskredit bringen; demütigen, erniedrigen; senken; umbringen, verderben; reduzieren; streichen"
la colombe;Taube
le radio;"Radio; Strahlen, Radius, Strahl, Halbgerade, Radioapparat, Radiogerät, Rundfunkempfänger, Rundfunkgerät"
l'ampleur (f);"Ausdehnung, Bereich, Dimension, Fassung, Gehalt, Umfang; Breite"
veiller;wachen
la bourse d'études;Stipendium
acclamer;zujubeln, Beifall spenden
le partisan, l'adhérent (m);Anhänger
la babiole, la bagatelle;Bagatelle, Kleinigkeit
le triangle;Dreieck
amplification;Verstärkung
littéralement, à proprement parler;wörtlich
la perfection;Vollendung, Vollkommenheit
le tronc;Stamm, Baumstamm, Strunk
aspirer;"erstreben, sich bewerben um, trachten nach; sich ersehnen, sich sehnen"
illustrer;illustrieren
la répersussion;Folge, Konsequenz
la Turquie;Türkei, die Türkei
s'aboucher avec;Verbindung haben mit, Kontakt haben mit, berühren
la gomme;"Gummi; Radiergummi"
anorak;Anorak
le printemps;Frühjahr, Frühling, Lenz
la capote, le paletot, le pardessus;Mantel, Überrock, Überzieher
la disposition;"Einrichtung, Zusammenstellung; Neigung, Veranlagung, Disposition"
la recette;"Einnahme, Erlös, Ertrag; Verfahren; Rezept"
l'oxygène (m);Sauerstoff
l'adieu (m);Abschied
la défense;"Abwehr; Verbot"
analyser;analysieren, auflösen, zergliedern
l'acquisition (f);"Erwerb; Errungenschaft, Neuerwerbung, Neuanschaffung; Beute"
la vision;"Gesicht, Sehen; Erscheinung, Vision"
le banquet;Bankett, Festessen
prudent;"gescheit, klug, vernünftig, verständig; bedächtig, behutsam, besonnen, vorsichtig"
l'adoration (f);"Anbetung; Verehrung"
la voyelle;Vokal
