parrucchiere;Friseur, Frisör
talento, ingegno;Talent
America del Nord;Nordamerika
sanguinare;bluten
rosa;rosig, rosa
inchiostro;Tinte
Islam;Islam
discutere;diskutieren, erörtern, verhandeln/ bereden, besprechen, sprechen über
vaso, tinozza, cassa;Behälter, Besteck, Krug
ufficio;Büro, Geschäftszimmer/ Amt
rivenire;zurückkommen
topo;Maus/ Ratte
rete;Garn, Netz
ubbidiente;folgsam, fügsam, gefügig, gehorsam, zahm
indirizzario;Adressbuch
maggioranza;Mehrheit
chimica;Chemie
imputato, accusato;Angeklagter
inezia;Bagatelle, Kleinigkeit
brigata;Abteilung
salvare;retten, erlösen, erretten
conservare;aufbewahren, behalten, bergen, erhalten, konservieren
facile;geläufig, leicht, mühelos, nicht schwierig
allarme;Alarm
compitare;buchstabieren
caso;Zufall/ Kasus, Fall
amputare;amputieren
accelerare;beeilen, beschleunigen, fördern, befördern
apparire;erscheinen
marinaio;Seemann
toviglia;Tischtuch
intero, totale;ganz, total
asso;As
India;Indien
ubbidire;folgen, befolgen, gehorchen
confrontare;vergleichen
curva;Kurve
successivamente;hintereinander
Berlino;Berlin
niente affatto;durchaus nicht, ganz und gar nicht
nascita;Abkunft, Abstammung, Herkunft, Ursprung/ Geburt
fondo;Fonds/ Hintergrund/ Boden, Grund/ tief
fabbisogno, bisogno;Bedarf, Bedürfnis
Gerusalemme;Jerusalem
ragno;Spinne
arrischiare;riskieren, wagen
mentire;flunkern, lügen, belügen
affilato, tagliente;grell, herb, scharf
becco;Schnabel
tanto;sofern, insofern, sosehr, soviel, soweit
gergo;Gaunersprache, Slang
Alpi;Alpen
terremoto;Erdbeben
documento;Handlung, Tat/ Dokument, Urkunde
contribuzione, imposta, tassa;Abgabe, Steuer, Steuerabgabe
vangelo;Evangelium
vittoria;Triumph/ Sieg
riscaldare;heizen
dizionario;Wörterbuch
acclimarsi, ambientarsi;sich eingewöhnen
ventilare, aerare, arieggiare;lüften
arbitrario;beliebig, eigenmächtig, willkürlich
dipendere da;abhängen von
veterinario;Tierarzt
vergognarsi;sich schämen
formica;Ameise
palla;Kugel/ Ball
seducente, attraente, allettante;anziehend, attraktiv
supporre;vermuten, voraussetzen
spiegare;erklären/ darlegen, erläutern
voce;Genus verbi, Zustandsform, Rede, Stimme
triangolo;Dreieck
contribuire;beisteuern, beitragen
interno;innerlich, intern, inwendig
cavallo vapore;PS, Pferdestärke
apposta;absichtlich
filtro;Filter
piattino;Untertasse
paura;Angst/ Blödigkeit/ Furcht
bestemmiare;lästern
rifiuto;Verweigerung, Weigerung
dado, cubo;Würfel
profondità;Tiefe
unirsi;zusammenkommen
mosca;Fliege
ciclista;Radfahrer
leone;Löwe
pollice;Daumen
opporsi a;widerstehen
commerciante;Händler, Kaufmann
conoscenza;Bekannter/ Kenntnis, Wissen, Wissenschaft
codice;Text, System, Kodex, Kennung, Gesetzbuch, Geheimtext, Alphabet, Code, Kode
luogo;Anstalt, Ort, Platz, Stelle/ Fleck, Stätte, Terrain
brillo, ubriaco;berauscht, trunken, betrunken
campione;Muster, Probe, Probestück/ Champion, Verfechter, Sieger, Meister, Anhänger
provare;erproben, probieren, prüfen, versuchen/ begründen, beweisen
impresa;Unternehmung
agricoltore;Bauer, Landwirt
svedese;Schwede
abbondanza;Übermaß, Fülle/ Überfluss
costruire;bauen, aufbauen, erbauen, konstruieren
penna;Feder
acido, agro;herb, sauer
traduzione;Übersetzung, Übertragung
seminare;säen
lesto, sveglio;fix, geschickt, geübt, gewandt
dotto, erudito;Gebildeter
veleno;Gift
abbonato;Abonnent
braccialetto;Armband
assenza;Abwesenheit
memoria;Andenken, Erinnerung/ Gedächtnis
fermare;anhalten, bremsen, sperren/ beenden, unterbrechen
comprensibile;begreiflich, verständlich, fassbar
accumulatore;Batterie, Akku, Akkumulator
distretto, circondario;Bezirk/ Amtsbezirk, Distrikt/ Stadtviertel, Viertel
commerciale;geschäftlich
rimanere, restare;bleiben, übrigbleiben
mordere;beißen
allegria;Jubel
dapprima;anfänglich/ erst, erstens, zuerst
favoloso;sagenhaft, märchenhaft
parallelo;gleichlaufend, parallel
alfabeto, alfabet;Alphabet
dipendente;abhängig
per via di matrimonio;Schwieger-
controllo;Nachprüfung, Überprüfung, Kontrolle, Prüfung
rischio;Risiko, Wagnis
velenoso;giftig
capanna;Hütte
Ungheria;Ungarn
udito;Gehör
tuonare;donnern
alleato;verbündet, alliiert
ambulanza;Krankenwagen, Sanitätsauto, Rettungsauto, Sanka, Ambulanzwagen
allearsi;sich verbünden
casella postale;Postfach
capitano;Hauptmann, Kapitän
ammirazione;Bewunderung
matrigno;Stiefmutter
azzurro;blau/ Azur
populazione;Bevölkerung
carta;Karte, Zettel/ Papier
dialetto;Dialekt, Mundart
alternativa;Alternative
cattivo;böse, schlecht/ ausgelassen, schelmisch, übermütig
aria;Luft/ Arie/ Anblick, Aussehen, Aspekt/ Klima/ Gesicht, Miene/ Anschein, Ansehen, Augenschein, Schein
suocera;Schwiegermutter
costoletta;Kotelett, Schnitzel
definitivo;definitiv, endgültig
citare;anführen, erwähnen, nennen, zitieren
rana, ranocchio;Frosch
divertimento;Unterhaltung, Vergnügen/ Amüsement
Olandese;Holländer, Niederländer
fiamma;Flamme
ape;Biene
ferro da stiro;Bügeleisen
Arabia Saudita;Saudi-Arabien
raccogliere;sammeln, einsammeln
fra poco;bald, alsbald, baldig/ gleich, sofort, umgehend, sogleich
avaro;geizig
Croazia;Kroatien
sala da ballo;Ballsaal, Tanzsaal, Diskothek, Discothek, Disco, Disko
unità;Einigkeit, Einheit
vena;Ader, Vene
secolo;Jahrhundert
Oceano Antartico;Antarktischer Ozean
costante;beständig, fest, konstant, ständig, stetig, unablässig
oscuro, tenebroso;dunkel, finster
ricco;ausgiebig, reich, vermögend
romano;Roman
ballerina;Tänzerin
esterne;äußerer
scherzo;Jux, Scherz, Spaß
democratico;demokratisch
vigna;Weinberg
mobile;beweglich
all'inizio, dapprincipio;anfänglich
immediatamente, subito;gleich, sofort, umgehend, sogleich
quadrato;Quadrat, Viereck
oca;Gans
bruciatura, ustione;Verbrennung, Brandwunde
abbracciare;umarmen
condursi, comportarsi;sich aufführen, sich benehmen, sich betragen, sich verhalten
particolare, dettaglio;Einzelheit, Detail
materasso;Matratze
ad un tratto, improvvisamente;jäh
sbadigliare;gähnen
scendere;hinuntergehen, hinabsteigen/ absitzen, absteigen/ heruntergehen
sonare il flauto;flöten, Flöte spielen
quarto;Viertel
assurdo;abgeschmackt, absurd, ungereimt, widersinnig
addio;adieu, auf Wiedersehen, lebe wohl/ Abschied
governo;Regierung
vicino;angrenzend, anstoßend, benachbart/ Nachbar/ nahe
perduto;abhanden
valutare;abschätzen, bewerten, schätzen, einschätzen
argomento;Argument, Beweis
preghiera;Gebet
colpo;Hieb, Schlag, Streich
conto;Kalkül/ Konto, Rechnung
quotidianamente, ogni giorno;täglich, alltäglich
disponibile;verfügbar, vorrätig
eguaglianza;Gleichheit
compleanno;Jahrestag/ Geburtstag
povero;arm/ elend, erbärmlich, jämmerlich
gomito;Ellbogen
drogheria;Drogerie
instruire;lehren, belehren, unterrichten, unterweisen
massa;Masse
promettere;geloben, verheißen, versprechen, zusagen
avverbio;Adverb, Umstandswort
suocero;Schwiegervater
straniera;ausländisch
ringraziare;danken, sich bedanken, verdanken
imputazione, accusa, incriminazione;Anklage, Beschuldigung
descrivere;beschreiben
assente;abwesend
accarezzare;schmeicheln, streicheln
gelosia;Eifersucht
creditore;Gläubiger
accoppare;totschlagen
esito;Erfolg, Ergebnis, Resultat
negare;leugnen, verneinen
lagrima;Träne
sacerdote;Priester
mercato;Marktplatz
delitto;Frevel, Verbrechen, Vergehen
muscolo;Muskel
distanza;Abstand, Entfernung, Weite
certo;gewiss, sicher, bestimmt, zuversichtlich
denso;dicht, gedrängt, geschlossen
aspetto;Anblick, Aussehen, Aspekt
convenire;gehören, schicken, sich gehören, ziemen/ sich verständigen, übereinkommen, verabreden, vereinbaren
spingere;dringen, rücken, stoßen, treiben
orrendo, orribile;verabscheuenswürdig, verabscheuenswert
allo stesso tempo;zugleich
cuscino;Kissen
cabina;Kabine, Kajüte, Koje
farfalla;Falter, Schmetterling
petto;Brust, Busen
parentela;Verwandtschaft
anticipare;vorausnehmen, vorwegnehmen
strano;befremdend, kurios, seltsam, sonderbar, wunderlich
servire;dienen, bedienen/ Bursche, Diener, Gehilfe/ nützen
importanza;Tragweite, Wichtigkeit
dubbioso;fraglich
piatto;Schale, Schüssel/ Teller
vescovo;Bischof
rispettare;achten, hochschätzen/ Achtung erweisen, respektieren
cessione;Verzicht, Ausstieg, Abtretung
polmone;Lunge
appuntato;spitz
misurare;messen, abmessen
accoglienza;Annahme, Übernahme, Zusage/ Gruß
tenaglie;Gefäß, Griff, Knauf, Stiel
contadino;Bauer, Landwirt
impiegato;Angestellter, Arbeitnehmer/ Beamter
crescere;gedeihen, wachsen, anwachsen
lagnarsi;klagen, sich beklagen, verklagen
coltivare;heranbilden, züchten, veredeln, hegen, bebauen, anbauen, kultivieren
mortale;tödlich
masticare;kauen
antenato;Ahn, Vorfahr, Urahn/ Vorfahre
stupirsi;sich wundern, staunen
pressione;Drang, Druck, Drücken, Pressen
dedurre;ableiten, deduzieren, folgern/ schließen
civile;bürgerlich, zivil
America;Amerika/ Vereinigten Staaten, Vereinigte Staaten, Vereinigte Staaten von Amerika
marito, sposo;Ehemann, Gemahl, Gatte
pugno;Faust
patria;Heimat, Vaterland
torturare;foltern, martern, peinigen
atomo;Atom
membro;Anhänger/ Glied, Mitglied
inventare;entdecken, erfinden
osare;wagen
IVA;Mehrwertsteuer
albicocca;Aprikose, Marille
citazione;Zitat, Anführung
participio;Partizip, Mittelwort
proprio;eigen
deserto;Einöde, Wildnis, Wüste
ruscello;Bach
marmo;Marmor
galoppare;galoppieren
crudele;grausam
stimare;achten, hochschätzen/ abschätzen, bewerten, schätzen, einschätzen
vestire;anziehen, kleiden, ankleiden, bekleiden
praticare;praktizieren
abrogare, abolire;abschaffen, aufheben/ einstellen
insistere;beharren auf, drängen, trotzen
chitarra;Klampfe, Gitarre
fischiare;pfeifen
marcia;Gang
destro;rechter/ fix, geschickt, geübt, gewandt/ aufrecht, direkt, gerad, gradlinig, unmittelbar
mendicante;Bettler
costoso;lieb, teuer, wert
spiegazione;Erklärung/ Aufklärung, Erläuterung
Canadà;Kanada
discendenza;Abkunft, Abstammung, Herkunft, Ursprung
severo;streng
capelli;Haar/ Haare
aggiungere;beifügen, zufügen
mento;Kinn
piantare;legen, stecken, pflanzen, anpflanzen
sorpreso;verwundert
carico;Belastung, Bürde, Fuhre, Ladung, Last
contratto;Traktat, Vertrag
duomo, catedrale;Dom, Kathedrale, Münster
Giappone;Japan
rilevare;ablösen, ersetzen
Gran Bretagna;Britannien
mutande;Unterhose
salsiccia;Wurst
sgretolarsi;bröckeln
concorrenza;Konkurrenz, Wettbewerb
scompartimento;Abteil, Coupé, Kupee
truffa;Betrug, Täuschung
tutt'al più;zumeist
prendere;erbeuten, ergreifen, ertappen, erwischen, fangen, fassen/ nehmen
chiave;Schlüssel/ Schraubenschlüssel
accusatore;Ankläger
benche, sebbene;obgleich, obschon, wenn auch, zwar
catalogo;Katalog, Verzeichnis
capoverso;Absatz, Alinea
manifestazione;Demonstration
tradurre;übersetzen, übertragen
formale;förmlich, formell, formal
guarire;behandeln, heilen, kurieren
fisico;physikalisch, physisch
ardore;Glut, Feuer, Inbrunst/ Eifer
preparare;bereiten, vorbereiten/ zurichten
prosperare;gedeihen, gelingen, geraten, glücken, prosperieren
scimmia;Affe
arancia;Apfelsine, Orange
chiodo;Nagel, Stift
povertà;Armut
tacere;schweigen
commettere, fare;anfertigen, herstellen, leiten, machen, tun, zurücklegen
due volte;zweimal
migliaio;Tausend
paga, salario;Gage, Gehalt
Unione Europea;Europäische Union
libero;frei, geläufig
baleno;Blitz
avere;besitzen, haben, innehaben/ Kredit
scuro;dunkel, düster, trübe/ finster
volante, timone;Lenkrad
Danubio;Donau
Atlantico;Atlantischer Ozean
guanciale;Kissen, Kopfkissen
accoglimento;Annahme, Übernahme, Zusage
azione;Handlung, Tat/ Aktie, Anteilschein/ Prozess
ospitale;gastlich
regime, dieta;Diät
parzialmente, in parte;teils
detestare;verabscheuen
bisbigliare, sussurrare;flüstern
caro;lieb, teuer, wert
agente;Agent
cambiarsi;sich ändern
tossire;husten
insegnare;Auskunft geben, benachrichten, informieren, mitteilen/ lehren, belehren, unterrichten, unterweisen/ angeben, verkünden, ankündigen
zelo;Eifer, Inbrunst
accademia;Akademie
bracchio;Arm
piede;Bein, Fuß, Pfote
compositore;Komponist
camminare;fahren, gehen, treten/ laufen, marschieren
Egitto;Ägypten
scopa, granata;Besen
seppellire;beerdigen
elemento;Element/ Batterie, Monozelle
Svizzera;Schweiz, die Schweiz
annunzio, comunicato;Auskunft, Bekanntmachung
appoggiarsi;sich stützen
parziale;Partial-(ordnung), teilweise
patrigno;Stiefvater
esistenza;Bestehen, Dasein, Existenz
saggio;gescheit, klug, weise
minaccia;Bedrohung, Drohung
far la barba;barbieren, rasieren
respingere;zurückschlagen
abisso, burrone;Abgrund, Tiefe
aceto;Essig
filosofo;Denker, Philosoph
trovare;finden, befinden, erachten, ermitteln, vorfinden
decisivo;entschieden/ entscheidend
deputato, delegato;Abgeordneter, Delegierter
stagno;Teich, Tümpel, Weiher/ Zinn
significare;bedeuten, bezeichnen
tempo;Zeit/ Wetter, Witterung
contatore;Zähler/ Computer, Datenverarbeiter, Rechner
scandalo;Entrüstung/ Ärgernis, Skandal
fattoria;Bauernhof, Besitzung, Gut, Landgut
Giordania;Jordanien
compromesso;Kompromiss
completare;vervollständigen
spirituale;Geistes-, geistig, intellektuell
doloroso;schmerzend, Schmerzens-
incoraggiamento;Ermutigung, Ermunterung
pendere;hängen
doppio;doppelt, zweifach
scrivania, banco;Schreibtisch
cognato;Schwager
origine;Abkunft, Abstammung, Herkunft, Ursprung
innaffiare, annaffiare;bewässern
larghezza;Breite
sudare, traspirare;schwitzen
definire;bestimmen, definieren
contenuto;Inhalt
fuga;Flucht
verde;grün/ Grün
considerare;berücksichtigen, betrachten, erwägen, sich überlegen
conquistare;erobern
affrancatura;Frankatur, Porto
vantare;empfehlen, anpreisen
irlandese;Ire
smarrirsi, perdersi;sich verirren
ieri l'altro;vorgestern
critica;Beurteilung, Prüfung, ungünstige Besprechung, Tadel, negative Beurteilung, Kritik, Besprechung
Turchia;Türkei, die Türkei
fare sciopero;streiken
intravedere, scorgere;erblicken, gewahr werden
atmosfera;Atmosphäre/ Stimmung
crepuscolo;Zwielicht/ Dämmerung
conflitto;Konflikt, Streit, Widerstreit
differente;verschieden, verschiedenartig
salire;aufgehen, sich erheben, steigen/ ersteigen
asserzione;Behauptung
mendicare;betteln
bianco;weiß/ Weiß
